"AlertNumber","RuleId","RuleName","Severity","Description","Message","Path","StartLine","EndLine","StartColumn","EndColumn","HtmlUrl","CreatedAt","CommitSha"
"2410","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of call to method IsNullOrEmpty.","src/Indice.Features.Identity.UI/Pages/Tailwind/VerifyPhone.cshtml","12","12","71","79","https://github.com/indice-co/Indice.Platform/security/code-scanning/2410","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2409","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of call to method IsNullOrEmpty.","src/Indice.Features.Identity.UI/Pages/Tailwind/MfaOnboardingverifyPhone.cshtml","11","11","74","85","https://github.com/indice-co/Indice.Platform/security/code-scanning/2409","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2408","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of call to method IsNullOrEmpty.","src/Indice.Features.Identity.UI/Pages/Bootstrap5/VerifyPhone.cshtml","11","11","71","79","https://github.com/indice-co/Indice.Platform/security/code-scanning/2408","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2407","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of call to method IsNullOrEmpty.","src/Indice.Features.Identity.UI/Pages/Bootstrap5/MfaOnboardingverifyPhone.cshtml","11","11","74","85","https://github.com/indice-co/Indice.Platform/security/code-scanning/2407","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2406","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of ... >= ....","src/Indice.Services/SmsServiceApifon.cs","145","145","60","66","https://github.com/indice-co/Indice.Platform/security/code-scanning/2406","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2405","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of call to method IsNullOrWhiteSpace.","src/Indice.Services/PushNotificationServiceAzure.cs","22","22","95","102","https://github.com/indice-co/Indice.Platform/security/code-scanning/2405","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2404","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of call to method IsNullOrWhiteSpace.","src/Indice.Services/LockManagerAzure.cs","36","36","45","68","https://github.com/indice-co/Indice.Platform/security/code-scanning/2404","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2403","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of ... == ....","src/Indice.Features.Messages.Core/Services/Validators/CreateCampaignRequestValidator.cs","13","13","59","71","https://github.com/indice-co/Indice.Platform/security/code-scanning/2403","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2399","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of access to property ActivePeriod.","src/Indice.Features.Messages.Core/Manager/NotificationsManager.cs","252","252","28","64","https://github.com/indice-co/Indice.Platform/security/code-scanning/2399","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2398","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of access to property ActivePeriod.","src/Indice.Features.Messages.Core/Handlers/ResolveMessageHandler.cs","172","172","56","93","https://github.com/indice-co/Indice.Platform/security/code-scanning/2398","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2397","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of access to property ActivePeriod.","src/Indice.Features.Messages.Core/Handlers/ResolveMessageHandler.cs","167","167","56","93","https://github.com/indice-co/Indice.Platform/security/code-scanning/2397","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
"2396","cs/constant-condition","cs/constant-condition","warning","Constant condition","Condition is always not null because of access to property ActivePeriod.","src/Indice.Features.Messages.Core/Handlers/ResolveMessageHandler.cs","162","162","56","93","https://github.com/indice-co/Indice.Platform/security/code-scanning/2396","14/11/2025 2:12:14 μμ","eb0e4366ff38f82fa0d47875517c11afcf0013ac"
