"AlertNumber","RuleId","RuleName","Severity","Description","Message","Path","StartLine","EndLine","StartColumn","EndColumn","HtmlUrl","CreatedAt","CommitSha"
"2594","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable filter.MarkForReview may be null at this access because it has a nullable type.","src/Indice.Features.ActivityLogs/Data/ActivityLogStore.cs","71","71","58","78","https://github.com/indice-co/Indice.Platform/security/code-scanning/2594","27/3/2026 4:50:11 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2539","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.","src/Indice.Features.Identity.Core/Grants/ExtendedResourceOwnerPasswordValidator.cs","63","63","55","62","https://github.com/indice-co/Indice.Platform/security/code-scanning/2539","10/3/2026 3:19:22 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2526","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable principal may be null at this access because of this potential null argument.","src/Indice.Common/Security/ClaimsPrincipalExtensions.cs","30","30","76","85","https://github.com/indice-co/Indice.Platform/security/code-scanning/2526","6/2/2026 4:39:14 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2524","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to options is useless, since its value is never read.","src/Indice.Features.Cases.Workflows/Endpoints/WorkflowManagerApi.cs","15","15","13","104","https://github.com/indice-co/Indice.Platform/security/code-scanning/2524","30/1/2026 3:15:42 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2452","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable attachmentId may be null at this access because it has a nullable type.","src/Indice.Features.Cases.Server/Endpoints/IntegrationHandlers.cs","191","191","18","30","https://github.com/indice-co/Indice.Platform/security/code-scanning/2452","4/12/2025 12:47:42 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2412","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.","src/Indice.Features.Messages.Core/Services/CampaignService.cs","54","54","42","56","https://github.com/indice-co/Indice.Platform/security/code-scanning/2412","14/11/2025 2:12:14 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2411","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.
Variable options.Filter may be null at this access as suggested by this null check.","src/Indice.Features.Cases.Core/Services/MyCaseService.cs","125","125","20","34","https://github.com/indice-co/Indice.Platform/security/code-scanning/2411","14/11/2025 2:12:14 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2262","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to initials is useless, since its value is never read.","src/Indice.Features.Identity.UI/Pages/Tailwind/Shared/_Header.cshtml","12","12","6","125","https://github.com/indice-co/Indice.Platform/security/code-scanning/2262","2/10/2025 11:35:27 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2261","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to langSuffix is useless, since its value is never read.","src/Indice.Features.Identity.UI/Pages/Tailwind/Shared/_Header.cshtml","10","10","6","56","https://github.com/indice-co/Indice.Platform/security/code-scanning/2261","2/10/2025 11:35:27 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2260","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to showRibbon is useless, since its value is never read.","src/Indice.Features.Identity.UI/Pages/Tailwind/Shared/_Header.cshtml","8","8","6","46","https://github.com/indice-co/Indice.Platform/security/code-scanning/2260","2/10/2025 11:35:27 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2258","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to langSuffix is useless, since its value is never read.","src/Indice.Features.Identity.UI/Pages/Tailwind/Shared/Components/ProfileSidebar/Default.cshtml","8","8","6","56","https://github.com/indice-co/Indice.Platform/security/code-scanning/2258","2/10/2025 11:35:27 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2254","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable grant.Expires may be null at this access because it has a nullable type.","src/Indice.Features.Identity.UI/Pages/Tailwind/Grants.cshtml","46","46","126","139","https://github.com/indice-co/Indice.Platform/security/code-scanning/2254","2/10/2025 11:35:27 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2179","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter.Published may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/CampaignService.cs","71","71","71","95","https://github.com/indice-co/Indice.Platform/security/code-scanning/2179","12/9/2025 7:19:48 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2160","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable id may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/DistributionListService.cs","103","103","83","85","https://github.com/indice-co/Indice.Platform/security/code-scanning/2160","4/8/2025 5:18:33 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2157","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable id may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/TemplateService.cs","73","73","100","102","https://github.com/indice-co/Indice.Platform/security/code-scanning/2157","4/8/2025 8:55:23 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2144","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter.ContactId may be null at this access as suggested by this null check.
Variable options.Filter.ContactId may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/CampaignService.cs","54","54","42","66","https://github.com/indice-co/Indice.Platform/security/code-scanning/2144","17/7/2025 2:49:19 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2118","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable filter.AutoGenerated may be null at this access because it has a nullable type.","src/Indice.Features.Identity.Server/Manager/ClaimTypeHandlers.cs","28","28","57","77","https://github.com/indice-co/Indice.Platform/security/code-scanning/2118","20/6/2025 2:21:06 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2117","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable filter.Required may be null at this access because it has a nullable type.","src/Indice.Features.Identity.Server/Manager/ClaimTypeHandlers.cs","25","25","52","67","https://github.com/indice-co/Indice.Platform/security/code-scanning/2117","20/6/2025 2:21:06 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2111","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to messageDescriber is useless, since its value is never read.","src/Indice.Features.Identity.Server/Manager/MyAccountHandlers.cs","774","774","13","60","https://github.com/indice-co/Indice.Platform/security/code-scanning/2111","4/6/2025 2:27:06 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"2076","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to userId is useless, since its value is never read.","src/Indice.Features.Identity.Core/ExtendedSignInManager.cs","337","337","13","68","https://github.com/indice-co/Indice.Platform/security/code-scanning/2076","6/5/2025 3:53:39 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1938","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable assignment may be null at this access because of this assignment.","src/Indice.Features.Cases.Workflows/Activities/AwaitAssignmentActivity.cs","54","54","85","95","https://github.com/indice-co/Indice.Platform/security/code-scanning/1938","21/2/2025 2:46:31 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1937","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable approval may be null at this access because of this assignment.","src/Indice.Features.Cases.Workflows/Activities/AwaitApprovalActivity.cs","69","69","23","31","https://github.com/indice-co/Indice.Platform/security/code-scanning/1937","21/2/2025 2:46:31 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1929","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable id may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/MessageTypeService.cs","57","57","78","80","https://github.com/indice-co/Indice.Platform/security/code-scanning/1929","11/2/2025 2:06:31 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1853","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable files may be null at this access as suggested by this null check.","src/Indice.Features.Media.AspNetCore/MediaManager.cs","67","67","26","31","https://github.com/indice-co/Indice.Platform/security/code-scanning/1853","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
